2026-05-17 23:31:48.773517 | SRC=142.250.205.2 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=64100
2026-05-17 23:31:48.776981 | SRC=10.243.99.167 | DST=142.250.205.2 | PROTO=UDP | SPORT=64100 | DPORT=443
2026-05-17 23:31:48.784951 | SRC=142.250.205.2 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=64100
2026-05-17 23:31:48.791994 | SRC=142.250.205.2 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=64100
2026-05-17 23:31:48.796119 | SRC=142.250.205.2 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=64100
2026-05-17 23:31:48.801806 | SRC=10.243.99.167 | DST=142.250.205.2 | PROTO=UDP | SPORT=64100 | DPORT=443
2026-05-17 23:31:48.807519 | SRC=216.239.38.223 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63278
2026-05-17 23:31:48.811966 | SRC=142.251.43.78 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63351
2026-05-17 23:31:48.817903 | SRC=142.251.43.78 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63351
2026-05-17 23:31:48.821552 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.825775 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.831213 | SRC=142.250.205.2 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=64100
2026-05-17 23:31:48.836965 | SRC=142.250.205.2 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=64100
2026-05-17 23:31:48.842550 | SRC=10.243.99.167 | DST=142.250.205.2 | PROTO=UDP | SPORT=64100 | DPORT=443
2026-05-17 23:31:48.848832 | SRC=142.251.43.78 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63351
2026-05-17 23:31:48.853902 | SRC=142.251.43.78 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63351
2026-05-17 23:31:48.859286 | SRC=142.251.43.78 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63351
2026-05-17 23:31:48.866930 | SRC=142.251.43.78 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63351
2026-05-17 23:31:48.871948 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.877811 | SRC=142.250.205.2 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=64100
2026-05-17 23:31:48.885080 | SRC=142.250.205.2 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=64100
2026-05-17 23:31:48.890247 | SRC=10.243.99.167 | DST=142.250.205.2 | PROTO=UDP | SPORT=64100 | DPORT=443
2026-05-17 23:31:48.895505 | SRC=10.243.99.167 | DST=142.250.205.2 | PROTO=UDP | SPORT=64100 | DPORT=443
2026-05-17 23:31:48.902892 | SRC=142.251.43.78 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63351
2026-05-17 23:31:48.907163 | SRC=142.251.43.78 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63351
2026-05-17 23:31:48.911907 | SRC=142.251.43.78 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63351
2026-05-17 23:31:48.918717 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.924298 | SRC=10.243.99.167 | DST=216.239.38.223 | PROTO=UDP | SPORT=63278 | DPORT=443
2026-05-17 23:31:48.928900 | SRC=10.243.99.167 | DST=216.239.38.223 | PROTO=UDP | SPORT=63278 | DPORT=443
2026-05-17 23:31:48.939005 | SRC=142.250.205.2 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=64100
2026-05-17 23:31:48.944584 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.953491 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.958812 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.966145 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.972228 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.977238 | SRC=142.251.43.78 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63351
2026-05-17 23:31:48.984480 | SRC=142.251.43.78 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63351
2026-05-17 23:31:48.989176 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:48.993568 | SRC=10.243.99.167 | DST=10.243.99.37 | PROTO=DNS | SPORT=53074 | DPORT=53
2026-05-17 23:31:49.004370 | SRC=10.243.99.167 | DST=10.243.99.37 | PROTO=DNS | SPORT=51412 | DPORT=53
2026-05-17 23:31:49.011619 | SRC=10.243.99.167 | DST=10.243.99.37 | PROTO=DNS | SPORT=62378 | DPORT=53
2026-05-17 23:31:49.025772 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:49.036812 | SRC=216.239.38.223 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63278
2026-05-17 23:31:49.054546 | SRC=10.243.99.37 | DST=10.243.99.167 | PROTO=DNS | SPORT=53 | DPORT=51412
2026-05-17 23:31:49.062834 | SRC=142.251.43.78 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63351
2026-05-17 23:31:49.076372 | SRC=142.251.43.78 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63351
2026-05-17 23:31:49.087072 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:49.094265 | SRC=142.251.43.78 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63351
2026-05-17 23:31:49.107142 | SRC=10.243.99.37 | DST=10.243.99.167 | PROTO=DNS | SPORT=53 | DPORT=62378
2026-05-17 23:31:49.116820 | SRC=10.243.99.167 | DST=216.239.38.223 | PROTO=UDP | SPORT=63278 | DPORT=443
2026-05-17 23:31:49.128747 | SRC=142.251.43.78 | DST=10.243.99.167 | PROTO=UDP | SPORT=443 | DPORT=63351
2026-05-17 23:31:49.140906 | SRC=10.243.99.167 | DST=112.110.93.13 | PROTO=UDP | SPORT=52823 | DPORT=443
2026-05-17 23:31:49.149492 | SRC=10.243.99.167 | DST=112.110.93.13 | PROTO=UDP | SPORT=52823 | DPORT=443
2026-05-17 23:31:49.160898 | SRC=10.243.99.167 | DST=142.251.43.78 | PROTO=UDP | SPORT=63351 | DPORT=443
2026-05-17 23:31:49.172368 | SRC=10.243.99.167 | DST=112.110.93.13 | PROTO=UDP | SPORT=52823 | DPORT=443
